casts,cover,directors,rate,title
"山新,郝祥海,刘明月,花泽香菜,宫野真守",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568288336.jpg,"木头,皇贞季,顾杰",8.2,罗小黑战记
"冯小刚,许晴,张涵予,刘桦,李易峰",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2292976849.jpg,管虎,7.6,老炮儿
"彭昱畅,乔杉,卜冠今,苇青,金世佳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627788612.jpg,易小星,6.1,沐浴之王
"徐峥,王宝强,李曼,李小璐,左小青",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p500548437.jpg,叶伟民,7.7,人在囧途
"黄轩,染谷将太,张雨绮,秦昊,张榕容",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530249558.jpg,陈凯歌,6.9,妖猫传
"韩庚,郑恺,于文文,曾梦雪,罗米",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508926717.jpg,田羽生,5.5,前任3：再见前任
"葛优,巩俐,姜武,牛犇,郭涛",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg,张艺谋,9.3,活着
"彭于晏,廖凡,姜文,周韵,许晴",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg,姜文,7.1,邪不压正
"黄才伦,艾伦,宋阳,卢靖姗,沈腾",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2533384240.jpg,吴昱翰,4.6,李茶的姑妈
"陈都灵,欧豪,杨洋,马思纯,段博文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2238949728.jpg,苏有朋,5.6,左耳
"张磊,林子杰,吴文伦,童自荣,刘九容",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2255028780.jpg,田晓鹏,8.3,西游记之大圣归来
"张子枫,彭昱畅,赵今麦,孙泽源,周翊然",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2531080870.jpg,郑芬芬,6.9,快把我哥带走
"杨幂,郭采洁,陈学冬,郭碧婷,谢依霖",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2250399288.jpg,郭敬明,4.9,小时代4：灵魂尽头
"周冬雨,马思纯,李程彬,李萍,蔡纲",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2378140502.jpg,曾国祥,7.6,七月与安生
"周星驰,徐娇,张雨绮,林子聪,冯勉恒",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2097947361.jpg,周星驰,7.0,长江七号
"杨天翔,张赫,宣晓鸣,李诗萌,朱可儿",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631711326.jpg,赵霁,7.2,新神榜：哪吒重生
"小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1955027201.jpg,沙恩·布莱克,7.8,钢铁侠3
"白百何,井柏然,姜武,金燕玲,钟汉良",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2257944916.jpg,许诚毅,6.7,捉妖记
"吴君如,沈腾,岳云鹏,张译,姜逸磊",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506825662.jpg,吴君如,4.2,妖铃铃
"刘昊然,彭昱畅,尹昉,谭卓,张琪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621101922.jpg,许宏宇,6.7,一点就到家
"克里斯蒂安·贝尔,倪妮,张歆怡,黄天元,韩熙庭",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1322247572.jpg,张艺谋,8.2,金陵十三钗
"于和伟,吴磊,张子枫,钟汉良,杨子姗",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577327922.jpg,杨子,6.0,宠爱
"邓超,白百何,杨洋,张天爱,岳云鹏",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2382076389.jpg,张一白,5.3,从你的全世界路过
"大鹏,乔杉,古力娜扎,李鸿其,韩童生",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498558511.jpg,大鹏,6.6,缝纫机乐队
"成龙,李治廷,张艺兴,索努·苏德,母其弥雅",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2412371389.jpg,唐季礼,5.0,功夫瑜伽
"陈坤,黄渤,舒淇,杨颖,夏雨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2284620292.jpg,乌尔善,7.4,寻龙诀
"甄子丹,吴樾,吴建豪,斯科特·阿金斯,李宛妲",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577578115.jpg,叶伟信,6.9,叶问4：完结篇
"海莉·斯坦菲尔德,小豪尔赫·兰登伯格,约翰·塞纳,杰森·德鲁克,帕梅拉·阿德龙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541662397.jpg,特拉维斯·奈特,7.0,大黄蜂
"徐峥,赵薇,包贝尔,杜鹃,葛民辉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266145079.jpg,"徐峥,阮惟新",5.7,港囧
"肖战,李沁,孟美岐,唐艺昕,刘端端",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567346094.jpg,程小东,4.5,诛仙1
"徐峥,黄梅莹,袁泉,郭京飞,黄景瑜",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2581835383.jpg,徐峥,5.9,囧妈
"彭于晏,王彦霖,辛芷蕾,蓝盈莹,王雨甜",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627025706.jpg,林超贤,6.1,紧急救援
"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2233706697.jpg,温子仁,8.4,速度与激情7
"梁朝伟,汤唯,陈冲,王力宏,庹宗华",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,李安,8.5,色，戒
"李治廷,张榕容,白客,鲁珀特·格雷夫斯,周韦彤",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2634807354.jpg,黄雷,3.6,合法伴侣
"黄渤,徐峥,袁泉,周冬雨,陶慧",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221061003.jpg,宁浩,7.2,心花路放
"白百何,吴彦祖,李媛,刘芮麟,程伊",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259298553.jpg,韩延,7.4,滚蛋吧！肿瘤君
"赵英博,任敏,辛云来,章若楠,朱丹妮",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616327870.jpg,落落,5.9,悲伤逆流成河
"邓超,段奕宏,郭涛,王珞丹,吕颂贤",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262236348.jpg,曹保平,8.2,烈日灼心
"于毅,何花,王瑞昌,岳丽娜,倪虹洁",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512204463.jpg,巨兴茂,7.1,灵魂摆渡·黄泉
"刘德华,古天乐,苗侨伟,林嘉欣,周秀娜",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561172733.jpg,邱礼涛,6.0,扫毒2天地对决
"佟大为,马丽,霍思燕,乔杉,田雨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2542268337.jpg,于淼,5.8,来电狂响
"井柏然,杨颖,李沁,王思聪,刘循子墨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2358355793.jpg,赵天宇,4.9,微微一笑很倾城
"井柏然,周冬雨,田壮壮,曲哲明,刘启恒",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520456502.jpg,刘若英,5.9,后来的我们
